mix_id,split,mix_path,background_id,transient_id,target_snr_db,onset_s,duration_s,sample_rate,seed
mix_train_000001,train,data/mixes/train/mix_train_000001_snr_-10.wav,1-24524-B-19,2-119161-B-8,-10,6.217159151988176,10.0,48000,42
mix_train_000002,train,data/mixes/train/mix_train_000002_snr_-5.wav,1-24524-B-19,2-119161-B-8,-5,5.32470350480244,10.0,48000,42
mix_train_000003,train,data/mixes/train/mix_train_000003_snr_+0.wav,1-24524-B-19,2-119161-B-8,0,1.1180628519652043,10.0,48000,42
mix_train_000004,train,data/mixes/train/mix_train_000004_snr_+5.wav,1-24524-B-19,2-119161-B-8,5,1.7461022094706875,10.0,48000,42
mix_train_000005,train,data/mixes/train/mix_train_000005_snr_-10.wav,2-104952-B-16,2-52789-A-4,-10,2.330488884831312,10.0,48000,42
mix_train_000006,train,data/mixes/train/mix_train_000006_snr_-5.wav,2-104952-B-16,2-52789-A-4,-5,4.885129003605748,10.0,48000,42
mix_train_000007,train,data/mixes/train/mix_train_000007_snr_+0.wav,2-104952-B-16,2-52789-A-4,0,2.7099783935934534,10.0,48000,42
mix_train_000008,train,data/mixes/train/mix_train_000008_snr_+5.wav,2-104952-B-16,2-52789-A-4,5,4.208322340395621,10.0,48000,42
mix_train_000009,train,data/mixes/train/mix_train_000009_snr_-10.wav,2-39945-C-19,3-140199-B-8,-10,2.317096971212215,10.0,48000,42
mix_train_000010,train,data/mixes/train/mix_train_000010_snr_-5.wav,2-39945-C-19,3-140199-B-8,-5,1.0172430268114114,10.0,48000,42
mix_train_000011,train,data/mixes/train/mix_train_000011_snr_+0.wav,2-39945-C-19,3-140199-B-8,0,4.123374060702505,10.0,48000,42
mix_train_000012,train,data/mixes/train/mix_train_000012_snr_+5.wav,2-39945-C-19,3-140199-B-8,5,8.412144588474668,10.0,48000,42
mix_train_000013,train,data/mixes/train/mix_train_000013_snr_-10.wav,4-166661-A-10,1-202111-A-3,-10,3.2819938315753623,10.0,48000,42
mix_train_000014,train,data/mixes/train/mix_train_000014_snr_-5.wav,4-166661-A-10,1-202111-A-3,-5,6.5727320288013,10.0,48000,42
mix_train_000015,train,data/mixes/train/mix_train_000015_snr_+0.wav,4-166661-A-10,1-202111-A-3,0,6.844042539323728,10.0,48000,42
mix_train_000016,train,data/mixes/train/mix_train_000016_snr_+5.wav,4-166661-A-10,1-202111-A-3,5,7.266892227874298,10.0,48000,42
mix_train_000017,train,data/mixes/train/mix_train_000017_snr_-10.wav,4-143118-B-7,5-242492-A-3,-10,2.238374602192513,10.0,48000,42
mix_train_000018,train,data/mixes/train/mix_train_000018_snr_-5.wav,4-143118-B-7,5-242492-A-3,-5,3.3736626039565136,10.0,48000,42
mix_train_000019,train,data/mixes/train/mix_train_000019_snr_+0.wav,4-143118-B-7,5-242492-A-3,0,8.749674919753271,10.0,48000,42
mix_train_000020,train,data/mixes/train/mix_train_000020_snr_+5.wav,4-143118-B-7,5-242492-A-3,5,5.63344232653005,10.0,48000,42
mix_train_000021,train,data/mixes/train/mix_train_000021_snr_-10.wav,5-233787-A-7,2-87795-A-24,-10,1.4876605718121265,10.0,48000,42
mix_train_000022,train,data/mixes/train/mix_train_000022_snr_-5.wav,5-233787-A-7,2-87795-A-24,-5,3.508838478157834,10.0,48000,42
mix_train_000023,train,data/mixes/train/mix_train_000023_snr_+0.wav,5-233787-A-7,2-87795-A-24,0,1.4011386981116285,10.0,48000,42
mix_train_000024,train,data/mixes/train/mix_train_000024_snr_+5.wav,5-233787-A-7,2-87795-A-24,5,4.814308136871479,10.0,48000,42
mix_train_000025,train,data/mixes/train/mix_train_000025_snr_-10.wav,3-110913-C-7,2-76868-A-6,-10,2.259461823515866,10.0,48000,42
mix_train_000026,train,data/mixes/train/mix_train_000026_snr_-5.wav,3-110913-C-7,2-76868-A-6,-5,8.686231226195602,10.0,48000,42
mix_train_000027,train,data/mixes/train/mix_train_000027_snr_+0.wav,3-110913-C-7,2-76868-A-6,0,1.640891721924695,10.0,48000,42
mix_train_000028,train,data/mixes/train/mix_train_000028_snr_+5.wav,3-110913-C-7,2-76868-A-6,5,2.4865996878457857,10.0,48000,42
mix_train_000029,train,data/mixes/train/mix_train_000029_snr_-10.wav,3-144891-B-19,3-71964-A-4,-10,6.401700428832721,10.0,48000,42
mix_train_000030,train,data/mixes/train/mix_train_000030_snr_-5.wav,3-144891-B-19,3-71964-A-4,-5,2.8816311600074496,10.0,48000,42
mix_train_000031,train,data/mixes/train/mix_train_000031_snr_+0.wav,3-144891-B-19,3-71964-A-4,0,1.9590929115769935,10.0,48000,42
mix_train_000032,train,data/mixes/train/mix_train_000032_snr_+5.wav,3-144891-B-19,3-71964-A-4,5,8.1222985130355,10.0,48000,42
mix_train_000033,train,data/mixes/train/mix_train_000033_snr_-10.wav,5-217186-A-16,5-156026-C-4,-10,5.631352460057685,10.0,48000,42
mix_train_000034,train,data/mixes/train/mix_train_000034_snr_-5.wav,5-217186-A-16,5-156026-C-4,-5,1.3179332983125152,10.0,48000,42
mix_train_000035,train,data/mixes/train/mix_train_000035_snr_+0.wav,5-217186-A-16,5-156026-C-4,0,1.6558672439590039,10.0,48000,42
mix_train_000036,train,data/mixes/train/mix_train_000036_snr_+5.wav,5-217186-A-16,5-156026-C-4,5,6.25898531578018,10.0,48000,42
mix_train_000037,train,data/mixes/train/mix_train_000037_snr_-10.wav,5-198278-A-7,1-208757-B-2,-10,3.530958767813817,10.0,48000,42
mix_train_000038,train,data/mixes/train/mix_train_000038_snr_-5.wav,5-198278-A-7,1-208757-B-2,-5,3.0861255648290626,10.0,48000,42
mix_train_000039,train,data/mixes/train/mix_train_000039_snr_+0.wav,5-198278-A-7,1-208757-B-2,0,6.357807798158634,10.0,48000,42
mix_train_000040,train,data/mixes/train/mix_train_000040_snr_+5.wav,5-198278-A-7,1-208757-B-2,5,3.5134709023646087,10.0,48000,42
mix_train_000041,train,data/mixes/train/mix_train_000041_snr_-10.wav,1-69760-A-16,4-174860-A-3,-10,4.166286774330036,10.0,48000,42
mix_train_000042,train,data/mixes/train/mix_train_000042_snr_-5.wav,1-69760-A-16,4-174860-A-3,-5,6.37352178367977,10.0,48000,42
mix_train_000043,train,data/mixes/train/mix_train_000043_snr_+0.wav,1-69760-A-16,4-174860-A-3,0,3.399976638390098,10.0,48000,42
mix_train_000044,train,data/mixes/train/mix_train_000044_snr_+5.wav,1-69760-A-16,4-174860-A-3,5,3.5294175701748323,10.0,48000,42
mix_train_000045,train,data/mixes/train/mix_train_000045_snr_-10.wav,3-103051-C-19,4-204830-A-6,-10,1.0745236550739712,10.0,48000,42
mix_train_000046,train,data/mixes/train/mix_train_000046_snr_-5.wav,3-103051-C-19,4-204830-A-6,-5,5.9692740439447425,10.0,48000,42
mix_train_000047,train,data/mixes/train/mix_train_000047_snr_+0.wav,3-103051-C-19,4-204830-A-6,0,5.503949165111568,10.0,48000,42
