filename,type,category
1-100032-A-0.wav,foreground,dog
1-101296-A-19.wav,background,thunderstorm
1-101296-B-19.wav,background,thunderstorm
1-110389-A-0.wav,foreground,dog
1-115521-A-19.wav,background,thunderstorm
1-118559-A-17.wav,background,pouring_water
1-121951-A-8.wav,foreground,sheep
1-137296-A-16.wav,background,wind
1-15689-A-4.wav,foreground,frog
1-15689-B-4.wav,foreground,frog
1-16568-A-3.wav,foreground,cow
1-17150-A-12.wav,background,crackling_fire
1-172649-A-40.wav,background,helicopter
1-172649-B-40.wav,background,helicopter
1-172649-C-40.wav,background,helicopter
1-172649-D-40.wav,background,helicopter
1-172649-E-40.wav,background,helicopter
1-172649-F-40.wav,background,helicopter
1-17367-A-10.wav,background,rain
1-17565-A-12.wav,background,crackling_fire
1-17585-A-7.wav,background,insects
1-17742-A-12.wav,background,crackling_fire
1-17808-A-12.wav,background,crackling_fire
1-17808-B-12.wav,background,crackling_fire
1-17970-A-4.wav,foreground,frog
1-18074-A-6.wav,foreground,hen
1-18074-B-6.wav,foreground,hen
1-181071-A-40.wav,background,helicopter
1-181071-B-40.wav,background,helicopter
1-18755-A-4.wav,foreground,frog
1-18755-B-4.wav,foreground,frog
1-18757-A-4.wav,foreground,frog
1-19111-A-24.wav,foreground,coughing
1-19118-A-24.wav,foreground,coughing
1-19501-A-7.wav,background,insects
1-196660-A-8.wav,foreground,sheep
1-196660-B-8.wav,foreground,sheep
1-202111-A-3.wav,foreground,cow
1-208757-A-2.wav,foreground,pig
1-208757-B-2.wav,foreground,pig
1-208757-C-2.wav,foreground,pig
1-208757-D-2.wav,foreground,pig
1-208757-E-2.wav,foreground,pig
1-21189-A-10.wav,background,rain
1-23222-A-19.wav,background,thunderstorm
1-23222-B-19.wav,background,thunderstorm
1-24524-A-19.wav,background,thunderstorm
1-24524-B-19.wav,background,thunderstorm
1-24524-C-19.wav,background,thunderstorm
1-260640-A-2.wav,foreground,pig
1-260640-B-2.wav,foreground,pig
1-260640-C-2.wav,foreground,pig
1-26222-A-10.wav,background,rain
1-29532-A-16.wav,background,wind
1-29561-A-10.wav,background,rain
1-30226-A-0.wav,foreground,dog
1-30344-A-0.wav,foreground,dog
1-30830-A-24.wav,foreground,coughing
1-31251-A-6.wav,foreground,hen
1-31251-B-6.wav,foreground,hen
1-31836-A-4.wav,foreground,frog
1-31836-B-4.wav,foreground,frog
1-32318-A-0.wav,foreground,dog
1-4211-A-12.wav,background,crackling_fire
1-46272-A-12.wav,background,crackling_fire
1-46938-A-7.wav,background,insects
1-46938-B-7.wav,background,insects
1-47709-A-16.wav,background,wind
1-47714-A-16.wav,background,wind
1-49409-A-8.wav,foreground,sheep
1-49409-B-8.wav,foreground,sheep
1-50060-A-10.wav,background,rain
1-50625-A-17.wav,background,pouring_water
1-50688-A-17.wav,background,pouring_water
1-51035-A-16.wav,background,wind
1-51036-A-16.wav,background,wind
1-51037-A-16.wav,background,wind
1-51433-A-17.wav,background,pouring_water
1-51436-A-17.wav,background,pouring_water
1-52266-A-24.wav,foreground,coughing
1-52323-A-24.wav,foreground,coughing
1-53663-A-24.wav,foreground,coughing
1-54958-A-10.wav,background,rain
1-56311-A-10.wav,background,rain
1-57795-A-8.wav,foreground,sheep
1-58277-A-3.wav,foreground,cow
1-58792-A-24.wav,foreground,coughing
1-59513-A-0.wav,foreground,dog
1-5996-A-6.wav,foreground,hen
1-61221-A-17.wav,background,pouring_water
1-63679-A-24.wav,foreground,coughing
1-63871-A-10.wav,background,rain
1-67152-A-17.wav,background,pouring_water
1-69422-A-3.wav,foreground,cow
1-69641-A-3.wav,foreground,cow
1-69760-A-16.wav,background,wind
1-7057-A-12.wav,background,crackling_fire
1-71030-A-6.wav,foreground,hen
1-72229-A-6.wav,foreground,hen
1-72229-B-6.wav,foreground,hen
1-73585-A-7.wav,background,insects
1-75189-A-7.wav,background,insects
1-75190-A-8.wav,foreground,sheep
1-77160-A-3.wav,foreground,cow
1-77241-A-3.wav,foreground,cow
1-79220-A-17.wav,background,pouring_water
1-7973-A-7.wav,background,insects
1-80785-A-7.wav,background,insects
1-81269-A-3.wav,foreground,cow
1-85362-A-0.wav,foreground,dog
1-88574-A-8.wav,foreground,sheep
1-97392-A-0.wav,foreground,dog
2-101676-A-10.wav,background,rain
2-102414-A-17.wav,background,pouring_water
2-102414-B-17.wav,background,pouring_water
2-102414-C-17.wav,background,pouring_water
2-102414-D-17.wav,background,pouring_water
2-102414-E-17.wav,background,pouring_water
2-102414-F-17.wav,background,pouring_water
2-102414-G-17.wav,background,pouring_water
2-103423-A-3.wav,foreground,cow
2-103424-A-3.wav,foreground,cow
2-103426-A-3.wav,foreground,cow
2-103427-A-3.wav,foreground,cow
2-103428-A-3.wav,foreground,cow
2-104105-A-19.wav,background,thunderstorm
2-104105-B-19.wav,background,thunderstorm
2-104877-A-3.wav,foreground,cow
2-104952-A-16.wav,background,wind
2-104952-B-16.wav,background,wind
2-108017-A-24.wav,foreground,coughing
2-109371-A-16.wav,background,wind
2-109371-B-16.wav,background,wind
2-109371-C-16.wav,background,wind
2-109371-D-16.wav,background,wind
2-109374-A-16.wav,background,wind
2-110614-A-8.wav,foreground,sheep
2-110614-B-8.wav,foreground,sheep
2-114280-A-0.wav,foreground,dog
2-114587-A-0.wav,foreground,dog
2-116400-A-0.wav,foreground,dog
2-117271-A-0.wav,foreground,dog
2-117625-A-10.wav,background,rain
2-117795-A-3.wav,foreground,cow
2-117795-B-3.wav,foreground,cow
2-118072-A-0.wav,foreground,dog
2-118964-A-0.wav,foreground,dog
2-119161-A-8.wav,foreground,sheep
2-119161-B-8.wav,foreground,sheep
2-119161-C-8.wav,foreground,sheep
2-120586-A-6.wav,foreground,hen
2-120587-A-6.wav,foreground,hen
2-122104-A-0.wav,foreground,dog
2-122104-B-0.wav,foreground,dog
2-123896-A-24.wav,foreground,coughing
2-126433-A-17.wav,background,pouring_water
2-127109-A-6.wav,foreground,hen
2-134049-A-6.wav,foreground,hen
2-157488-A-6.wav,foreground,hen
2-158746-A-2.wav,foreground,pig
2-158746-B-2.wav,foreground,pig
2-158746-C-2.wav,foreground,pig
2-158746-D-2.wav,foreground,pig
2-160128-A-7.wav,background,insects
2-166644-A-2.wav,foreground,pig
2-166644-B-2.wav,foreground,pig
2-166644-C-2.wav,foreground,pig
2-182508-A-8.wav,foreground,sheep
2-182508-B-8.wav,foreground,sheep
2-18766-A-12.wav,background,crackling_fire
2-18766-B-12.wav,background,crackling_fire
2-188822-A-40.wav,background,helicopter
2-188822-B-40.wav,background,helicopter
2-188822-C-40.wav,background,helicopter
2-188822-D-40.wav,background,helicopter
2-196688-A-8.wav,foreground,sheep
2-205966-A-16.wav,background,wind
2-28314-A-12.wav,background,crackling_fire
2-28314-B-12.wav,background,crackling_fire
2-30322-A-12.wav,background,crackling_fire
2-30322-B-12.wav,background,crackling_fire
2-32515-A-4.wav,foreground,frog
2-32515-B-4.wav,foreground,frog
2-32515-C-4.wav,foreground,frog
2-32515-D-4.wav,foreground,frog
2-32834-A-4.wav,foreground,frog
2-37806-A-40.wav,background,helicopter
2-37806-B-40.wav,background,helicopter
2-37806-C-40.wav,background,helicopter
2-37806-D-40.wav,background,helicopter
2-37870-A-2.wav,foreground,pig
2-39441-A-19.wav,background,thunderstorm
2-39443-A-19.wav,background,thunderstorm
2-39443-B-19.wav,background,thunderstorm
2-39945-A-19.wav,background,thunderstorm
2-39945-B-19.wav,background,thunderstorm
2-39945-C-19.wav,background,thunderstorm
2-52085-A-4.wav,foreground,frog
2-52085-B-4.wav,foreground,frog
2-52789-A-4.wav,foreground,frog
2-61311-A-12.wav,background,crackling_fire
2-65747-A-12.wav,background,crackling_fire
2-72268-A-6.wav,foreground,hen
2-72970-A-10.wav,background,rain
2-73027-A-10.wav,background,rain
2-73260-A-10.wav,background,rain
2-75726-A-6.wav,foreground,hen
2-76868-A-6.wav,foreground,hen
2-81731-A-10.wav,background,rain
2-81970-A-7.wav,background,insects
2-81970-B-7.wav,background,insects
2-81970-C-7.wav,background,insects
2-82077-A-7.wav,background,insects
2-82367-A-10.wav,background,rain
2-85292-A-24.wav,foreground,coughing
2-87412-A-24.wav,foreground,coughing
2-87781-A-10.wav,background,rain
2-87794-A-24.wav,foreground,coughing
2-87795-A-24.wav,foreground,coughing
2-87799-A-24.wav,foreground,coughing
2-98676-A-24.wav,foreground,coughing
2-99955-A-7.wav,background,insects
2-99955-B-7.wav,background,insects
2-99955-C-7.wav,background,insects
3-102908-A-4.wav,foreground,frog
3-103050-A-19.wav,background,thunderstorm
3-103051-A-19.wav,background,thunderstorm
3-103051-B-19.wav,background,thunderstorm
3-103051-C-19.wav,background,thunderstorm
3-104632-A-12.wav,background,crackling_fire
3-104761-A-7.wav,background,insects
3-104761-B-7.wav,background,insects
3-104958-A-12.wav,background,crackling_fire
3-105235-A-7.wav,background,insects
3-105236-A-7.wav,background,insects
3-108451-A-17.wav,background,pouring_water
3-108451-B-17.wav,background,pouring_water
3-110913-A-7.wav,background,insects
3-110913-B-7.wav,background,insects
3-110913-C-7.wav,background,insects
3-110913-D-7.wav,background,insects
3-117504-A-16.wav,background,wind
3-117504-B-16.wav,background,wind
3-120644-A-12.wav,background,crackling_fire
3-123224-A-19.wav,background,thunderstorm
3-124376-A-3.wav,foreground,cow
